,Interval,Train Split,MSE,MAPE,Time(s)
0,WEEKLY,0.800,21.620,0.037,64.472
1,WEEKLY,0.500,18.274,0.055,110.962
2,WEEKLY,0.600,16.338,0.049,107.289
3,DAILY,0.800,5.557,0.017,108.447
4,DAILY,0.500,5.753,0.031,82.932
5,DAILY,0.600,4.152,0.021,83.907
6,QUARTERLY,0.800,446.106,0.161,357.064
7,QUARTERLY,0.500,866.302,0.459,484.589
8,QUARTERLY,0.600,566.090,0.285,428.251
9,MONTHLY,0.800,56.275,0.075,134.905
10,MONTHLY,0.500,75.015,0.132,187.441
11,MONTHLY,0.600,62.747,0.116,260.177
