,Train Split,Order,MSE,MAPE,Time(s),Mean
83,0.500,"(5, 0, 0)",52.132,0.101,31.129,-0.864
84,0.500,"(5, 0, 1)",51.953,0.099,60.825,-0.978
85,0.500,"(5, 1, 0)",51.835,0.099,23.151,0.609
86,0.500,"(5, 1, 1)",51.937,0.100,34.140,0.606
87,0.500,"(5, 2, 0)",57.893,0.106,22.576,0.747
88,0.500,"(5, 2, 1)",53.698,0.103,57.142,1.550
89,0.500,"(6, 0, 0)",53.063,0.101,47.504,-0.707
90,0.500,"(6, 0, 1)",52.937,0.101,66.281,-0.734
91,0.500,"(6, 1, 0)",51.921,0.100,36.936,0.588
92,0.500,"(6, 1, 1)",52.198,0.100,57.403,0.607
93,0.500,"(6, 2, 0)",59.553,0.108,36.646,0.778
94,0.500,"(6, 2, 1)",53.714,0.104,63.607,1.507
95,0.500,"(7, 0, 0)",52.919,0.102,126.359,-0.819
96,0.500,"(7, 0, 1)",53.438,0.102,198.472,-0.717
97,0.500,"(7, 1, 0)",52.154,0.100,78.575,0.646
98,0.500,"(7, 1, 1)",53.448,0.101,153.703,0.573
99,0.500,"(7, 2, 0)",58.046,0.105,74.837,0.860
100,0.500,"(7, 2, 1)",54.034,0.104,302.023,1.604
101,0.500,"(8, 0, 0)",53.459,0.102,175.275,-0.728
102,0.500,"(8, 0, 1)",53.969,0.102,309.985,-0.746
103,0.500,"(8, 1, 0)",52.600,0.101,113.794,0.618
104,0.500,"(8, 1, 1)",54.135,0.102,232.929,0.483
105,0.500,"(8, 2, 0)",59.549,0.106,113.416,0.976
106,0.500,"(8, 2, 1)",58.506,0.106,244.298,1.435
107,0.600,"(0, 0, 0)",674.289,0.429,1.306,-17.596
108,0.600,"(0, 0, 1)",234.440,0.247,3.193,-9.259
109,0.600,"(0, 1, 0)",46.250,0.094,1.849,1.146
110,0.600,"(0, 1, 1)",46.308,0.091,3.605,0.951
111,0.600,"(0, 2, 0)",79.521,0.117,1.356,0.111
112,0.600,"(0, 2, 1)",48.827,0.098,6.244,1.916
113,0.600,"(1, 0, 0)",45.850,0.093,3.473,0.342
114,0.600,"(1, 0, 1)",45.647,0.092,5.970,0.003
115,0.600,"(1, 1, 0)",46.862,0.092,2.494,0.881
116,0.600,"(1, 1, 1)",47.051,0.092,4.308,0.917
117,0.600,"(1, 2, 0)",68.942,0.112,2.508,0.132
118,0.600,"(1, 2, 1)",48.735,0.094,9.666,1.451
119,0.600,"(2, 0, 0)",46.473,0.093,5.072,-0.200
120,0.600,"(2, 0, 1)",46.966,0.093,8.150,-0.208
121,0.600,"(2, 1, 0)",47.033,0.092,3.502,0.924
122,0.600,"(2, 1, 1)",48.294,0.095,15.942,0.763
123,0.600,"(2, 2, 0)",62.624,0.105,3.296,0.157
124,0.600,"(2, 2, 1)",48.950,0.094,12.810,1.498
125,0.600,"(3, 0, 0)",46.884,0.093,7.300,-0.206
126,0.600,"(3, 0, 1)",46.703,0.092,21.789,-0.211
127,0.600,"(3, 1, 0)",47.177,0.092,4.795,0.956
128,0.600,"(3, 1, 1)",47.241,0.092,18.495,0.950
129,0.600,"(3, 2, 0)",59.494,0.104,4.177,0.204
130,0.600,"(3, 2, 1)",49.149,0.094,16.185,1.531
131,0.600,"(4, 0, 0)",47.147,0.093,9.847,-0.249
132,0.600,"(4, 1, 0)",47.599,0.091,6.346,1.040
133,0.600,"(4, 1, 1)",48.697,0.092,24.132,1.179
134,0.600,"(4, 2, 0)",56.642,0.103,5.673,0.241
135,0.600,"(4, 2, 1)",49.697,0.093,24.932,1.643
136,0.600,"(5, 0, 0)",47.320,0.094,25.982,-0.147
137,0.600,"(5, 0, 1)",47.671,0.093,41.596,-0.290
138,0.600,"(5, 1, 0)",49.544,0.093,18.595,1.134
139,0.600,"(5, 1, 1)",49.726,0.093,27.176,1.116
140,0.600,"(5, 2, 0)",54.318,0.098,18.298,0.397
141,0.600,"(5, 2, 1)",51.998,0.098,46.507,1.817
142,0.600,"(6, 0, 0)",48.502,0.093,38.675,0.057
143,0.600,"(6, 0, 1)",48.582,0.092,53.795,0.026
144,0.600,"(6, 1, 0)",49.601,0.093,29.751,1.088
145,0.600,"(6, 1, 1)",49.984,0.093,46.660,1.116
146,0.600,"(6, 2, 0)",55.098,0.099,29.506,0.420
147,0.600,"(6, 2, 1)",51.951,0.098,50.764,1.745
148,0.600,"(7, 0, 0)",48.505,0.094,103.625,-0.080
149,0.600,"(7, 0, 1)",48.959,0.093,157.462,-0.022
150,0.600,"(7, 1, 0)",49.991,0.093,63.447,1.193
151,0.600,"(7, 1, 1)",50.461,0.094,114.012,1.165
152,0.600,"(7, 2, 0)",54.157,0.098,60.128,0.506
153,0.600,"(7, 2, 1)",52.520,0.099,248.173,1.881
154,0.600,"(8, 0, 0)",48.809,0.093,143.202,0.027
155,0.600,"(8, 0, 1)",49.220,0.093,221.723,0.017
156,0.600,"(8, 1, 0)",50.293,0.094,90.416,1.171
157,0.600,"(8, 1, 1)",50.278,0.094,175.068,1.173
158,0.600,"(8, 2, 0)",57.857,0.102,91.457,0.607
159,0.600,"(8, 2, 1)",56.598,0.101,212.747,1.168
